ANIO,anomalia_global,anomalia_global_1985_2000
1880,-0.17,-0.51375
1881,-0.08,-0.42375
1882,-0.11,-0.45375
1883,-0.17,-0.51375
1884,-0.28,-0.62375
1885,-0.33,-0.6737500000000001
1886,-0.31,-0.65375
1887,-0.36,-0.70375
1888,-0.18,-0.5237499999999999
1889,-0.11,-0.45375
1890,-0.36,-0.70375
1891,-0.22,-0.56375
1892,-0.27,-0.61375
1893,-0.31,-0.65375
1894,-0.31,-0.65375
1895,-0.23,-0.57375
1896,-0.12,-0.46375
1897,-0.11,-0.45375
1898,-0.28,-0.62375
1899,-0.18,-0.5237499999999999
1900,-0.09,-0.43374999999999997
1901,-0.16,-0.50375
1902,-0.28,-0.62375
1903,-0.37,-0.71375
1904,-0.48,-0.82375
1905,-0.26,-0.60375
1906,-0.22,-0.56375
1907,-0.39,-0.73375
1908,-0.43,-0.7737499999999999
1909,-0.49,-0.83375
1910,-0.44,-0.78375
1911,-0.45,-0.79375
1912,-0.37,-0.71375
1913,-0.35,-0.69375
1914,-0.16,-0.50375
1915,-0.14,-0.48375
1916,-0.36,-0.70375
1917,-0.46,-0.80375
1918,-0.3,-0.64375
1919,-0.28,-0.62375
1920,-0.28,-0.62375
1921,-0.19,-0.53375
1922,-0.29,-0.63375
1923,-0.27,-0.61375
1924,-0.27,-0.61375
1925,-0.22,-0.56375
1926,-0.11,-0.45375
1927,-0.22,-0.56375
1928,-0.2,-0.54375
1929,-0.36,-0.70375
1930,-0.16,-0.50375
1931,-0.09,-0.43374999999999997
1932,-0.16,-0.50375
1933,-0.29,-0.63375
1934,-0.13,-0.47375
1935,-0.2,-0.54375
1936,-0.15,-0.49375
1937,-0.03,-0.37375
1938,0.0,-0.34375
1939,-0.02,-0.36375
1940,0.12,-0.22375
1941,0.18,-0.16375
1942,0.06,-0.28375
1943,0.09,-0.25375000000000003
1944,0.2,-0.14375
1945,0.09,-0.25375000000000003
1946,-0.07,-0.41375
1947,-0.03,-0.37375
1948,-0.11,-0.45375
1949,-0.11,-0.45375
1950,-0.17,-0.51375
1951,-0.07,-0.41375
1952,0.01,-0.33375
1953,0.08,-0.26375
1954,-0.13,-0.47375
1955,-0.14,-0.48375
1956,-0.19,-0.53375
1957,0.05,-0.29375
1958,0.06,-0.28375
1959,0.03,-0.31375
1960,-0.03,-0.37375
1961,0.06,-0.28375
1962,0.03,-0.31375
1963,0.05,-0.29375
1964,-0.2,-0.54375
1965,-0.11,-0.45375
1966,-0.06,-0.40375
1967,-0.02,-0.36375
1968,-0.08,-0.42375
1969,0.05,-0.29375
1970,0.03,-0.31375
1971,-0.08,-0.42375
1972,0.01,-0.33375
1973,0.16,-0.18375
1974,-0.07,-0.41375
1975,-0.01,-0.35375
1976,-0.1,-0.44375
1977,0.18,-0.16375
1978,0.07,-0.27375
1979,0.16,-0.18375
1980,0.26,-0.08374999999999999
1981,0.32,-0.023749999999999993
1982,0.14,-0.20375
1983,0.31,-0.03375
1984,0.16,-0.18375
1985,0.12,-0.22375
1986,0.18,-0.16375
1987,0.32,-0.023749999999999993
1988,0.39,0.04625000000000001
1989,0.27,-0.07374999999999998
1990,0.45,0.10625000000000001
1991,0.4,0.05625000000000002
1992,0.22,-0.12375
1993,0.23,-0.11374999999999999
1994,0.31,-0.03375
1995,0.44,0.09625
1996,0.33,-0.013749999999999984
1997,0.46,0.11625000000000002
1998,0.61,0.26625
1999,0.38,0.036250000000000004
2000,0.39,0.04625000000000001
2001,0.53,0.18625000000000003
2002,0.63,0.28625
2003,0.61,0.26625
2004,0.53,0.18625000000000003
2005,0.68,0.33625000000000005
2006,0.64,0.29625
2007,0.66,0.31625000000000003
2008,0.54,0.19625000000000004
2009,0.65,0.30625
2010,0.72,0.37625
2011,0.61,0.26625
2012,0.64,0.29625
2013,0.67,0.32625000000000004
2014,0.75,0.40625
2015,0.89,0.54625
2016,1.01,0.66625
2017,0.91,0.56625
2018,0.85,0.50625
2019,0.98,0.63625
2020,1.01,0.66625
2021,0.85,0.50625
2022,0.89,0.54625
2023,1.17,0.8262499999999999
2024,1.28,0.93625
2025,1.19,0.84625
