ANIO,temperatura_media_mexico,temperatura_minima_mexico,temperatura_maxima_mexico,anomalia_mexico
1985,20.516666666666666,13.033333333333333,28.041666666666668,-0.26562500000000355
1986,20.533333333333335,12.950000000000001,28.133333333333336,-0.24895833333333428
1987,20.541666666666668,12.950000000000001,28.175,-0.24062500000000142
1988,20.625,12.966666666666667,28.316666666666666,-0.15729166666666927
1989,20.675,13.141666666666666,28.258333333333336,-0.10729166666666856
1990,20.783333333333335,13.35,28.25,0.0010416666666657193
1991,20.658333333333335,13.325000000000001,28.041666666666668,-0.12395833333333428
1992,20.625,13.25,28.041666666666668,-0.15729166666666927
1993,20.958333333333332,13.341666666666667,28.566666666666666,0.17604166666666288
1994,21.175,13.5,28.858333333333334,0.39270833333333144
1995,21.01666666666667,13.25,28.816666666666666,0.234375
1996,20.791666666666668,13.041666666666666,28.575,0.009374999999998579
1997,21.016666666666666,13.216666666666667,28.78333333333333,0.23437499999999645
1998,21.016666666666666,13.033333333333333,28.991666666666664,0.23437499999999645
1999,20.783333333333335,12.841666666666667,28.75,0.0010416666666657193
2000,20.8,13.066666666666668,28.55,0.01770833333333144
2001,20.858333333333334,13.174999999999999,28.558333333333334,0.07604166666666501
2002,20.958333333333332,13.241666666666667,28.708333333333332,0.17604166666666288
2003,20.933333333333334,13.35,28.53333333333333,0.1510416666666643
2004,21.166666666666668,13.633333333333333,28.691666666666666,0.3843749999999986
2005,21.65833333333333,14.225,29.116666666666664,0.8760416666666622
2006,21.958333333333332,14.65,29.308333333333334,1.1760416666666629
2007,21.724999999999998,14.291666666666666,29.183333333333334,0.9427083333333286
2008,21.608333333333334,14.100000000000001,29.141666666666666,0.826041666666665
2009,21.45,13.916666666666666,28.991666666666664,0.66770833333333
2010,21.474999999999998,13.766666666666666,29.191666666666666,0.6927083333333286
2011,21.833333333333332,14.266666666666666,29.433333333333334,1.0510416666666629
2012,21.775000000000002,14.450000000000001,29.099999999999998,0.9927083333333329
2013,21.724999999999998,14.408333333333333,29.033333333333335,0.9427083333333286
2014,21.65833333333333,14.266666666666666,29.03333333333333,0.8760416666666622
2015,21.825,14.775,28.841666666666665,1.04270833333333
2016,22.141666666666666,14.6,29.683333333333334,1.3593749999999964
2017,22.425,14.691666666666668,30.141666666666666,1.6427083333333314
2018,22.108333333333334,14.691666666666668,29.516666666666666,1.326041666666665
2019,22.358333333333334,14.808333333333332,29.916666666666668,1.576041666666665
2020,22.441666666666666,14.858333333333334,30.066666666666666,1.6593749999999972
2021,22.21666666666667,14.658333333333333,29.766666666666666,1.4343749999999993
2022,22.03333333333333,14.466666666666667,29.625,1.2510416666666622
2023,22.683333333333334,15.191666666666668,30.174999999999997,1.9010416666666643
2024,22.849999999999998,15.383333333333333,30.325,2.0677083333333286
2025,22.641666666666666,15.233333333333334,30.066666666666666,1.8593749999999964
